"","ID_Yapper","ID","participant","TIME_total","Game_Feelings","Age","Gender","Town","Country","Studies","CSP","CSP_Other","Writing_Script_C","Writing_Script","Writing_Language","Subjective_SES","Pay_Distance","Pay_Amount","Pay_Month","Household_Nb","PESS_1","PESS_2","PESS_3","PESS_4","PESS_5","PESS_6","PESS_7","PESS_8","PESS_Mean","SoundCalibration","SoundProblem","Check_Sound","Check_Uncomfort","Check_Volume","Knew","KnewTask","KnewIB","PrimaryTask","PrimaryTask_C","Congruency","Congruency_C","Threat","Threat_C","Count_Trial1","Count_TrialCritical","Count_TrialDivided","Error_Trial1","Error_TrialCritic","Error_TrialDivided","PleasureTrial1","PleasureCritical","PleasureDivided","ArousalTrial1","ArousalCritical","ArousalDivided","SenseControlTrial1","SenseControlCritical","SenseControlDivided","Noticing_Critic","Noticing_Divided","Noticing_Full","Angry_pretest","Happy_pretest","Depressed_pretest","Calm_pretest_Recod","Nervous_pretest","Anxious_pretest","Tense_pretest","Stressed_pretest","Angry","Happy","Depressed","Calm_Recod","Nervous","Anxious","Tense","Stressed","FearScore_pre","FearScore_post","FearScore","FearMean_pre","FearMean_post","FearMean"
"573","XXXX",1626,"s.d68138a1-6cd7-4b21-9bd0-0e72a514ea78.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BlackFocus",0.5,"Congruent",0.5,"Control",-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","XXXX",1796,"s.ef50030f-5ea8-4927-a477-78e8a8d8629b.txt",8,"Les cris m'ont mis tr<e8>s mal <e0> l'aise",33,2,"Metz","France",5,4,NA,2,"OtherScript","Arabe",6,8,"900","3000",6,2,4,2,6,6,4,3,2,3.625,"LoudSound",NA,0.5,0.5,0.5,-0.5,-0.5,-0.5,"BlackFocus",0.5,"Congruent",0.5,"Threat",0.5,18,17,18,1,3,3,2,3,5,5,5,5,4,5,4,1,1,1,3,3,2,6,3,3,4,3,2,1,3,7,5,5,6,5,0.311449303529604,1.45284673236707,1.14139742883747,3.25,5.25,2
"575","XXXX",1431,"s.bce431a2-434d-4ae4-ab27-b7749989ec5e.txt",15,"sentiment <e9>trange .....",47,2,"mende","france",5,5,NA,1,"LatinScript",NA,5,25,"2500","3100",6,4,4,4,4,4,5,3,4,4,"LoudSound",NA,0.5,0.5,0.5,-0.5,-0.5,-0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Threat",0.5,7,11,8,3,1,0,3,5,6,2,2,1,6,6,7,0,0,0,1,6,1,2,2,1,2,1,1,2,1,2,1,1,1,1,-0.805827320725266,-1.10793820725763,-0.30211088653236,1.5,1,-0.5
"576","XXXX",1305,"s.aaddc06e-8fe3-4f25-8934-52d86a921fde.txt",14,"Simplicit<e9> du moment v<e9>cu.",60,2,"Angers","France",6,5,NA,1,"LatinScript",NA,4,25,"1450","1450",1,5,6,5,6,4,6,5,7,5.5,"SoftSound",NA,0.5,-0.5,0.5,-0.5,0.5,-0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Threat",0.5,11,11,8,1,1,0,7,9,9,1,1,1,9,9,9,0,0,1,1,4,1,3,2,1,2,1,1,1,1,1,1,1,1,1,-0.805827320725266,-1.10793820725763,-0.30211088653236,1.5,1,-0.5
"577","XXXX",1868,"s.f8cbbd2e-e630-4854-837e-d7ce42d1087d.txt",22,"J'ai essay<e9> de faire abstraction des sons et de me concentrer mais certains cris sont perturbants, en revanche la sir<e8>ne ne m'a pas d<e9>rang<e9>e.",51,1,"NARBONNE","FRANCE",5,11,"AUTOENTREPRENEUR",1,"LatinScript",NA,6,10,"1900","3200",2,3,6,1,4,1,5,5,6,3.875,"LoudSound",NA,0.5,0.5,0.5,-0.5,-0.5,0.5,"BlackFocus",0.5,"Congruent",0.5,"Threat",0.5,17,18,17,2,2,4,5,5,5,3,4,4,8,8,7,1,0,1,1,5,1,3,1,3,1,1,1,4,1,3,1,1,4,1,-0.823427439865054,-0.773682486432227,0.0497449534328269,1.5,1.75,0.25
"578","XXXX",1599,"s.d35943c8-3b01-4408-b93f-93cb377e8647.txt",13,"Utilit<e9> ?",45,2,NA,"France",7,5,NA,1,"LatinScript",NA,7,6,"2000","3500",4,3,6,2,5,2,5,4,4,3.875,"LoudSound",NA,0.5,0.5,0.5,0.5,-0.5,0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Threat",0.5,10,8,10,0,4,2,4,4,5,6,6,6,6,6,6,0,1,1,1,5,1,2,1,1,1,1,1,4,1,3,1,1,1,1,-1.10502495328365,-1.10793820725763,-0.00291325397397868,1,1,0
"579","XXXX",1714,"s.e35e5687-c270-45c2-81d1-b8befe7c9718.txt",8,NA,23,2,"montpellier","france",5,8,NA,1,"LatinScript",NA,2,0,"0","3500",3,7,7,1,7,7,7,7,7,6.25,"LoudSound",NA,0.5,0.5,0.5,-0.5,0.5,-0.5,"BlackFocus",0.5,"Congruent",0.5,"Threat",0.5,15,17,20,4,3,1,2,3,3,6,6,6,9,8,9,1,1,1,1,5,7,1,1,7,1,1,1,3,7,2,1,7,5,7,-0.260232413027867,1.23968473160998,1.49991714463785,2.5,5,2.5
"580","XXXX",362,"s.2ebc76bd-0cc7-4794-8dde-08d06a8e1175.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LoudSound",NA,NA,NA,NA,NA,NA,NA,"WhiteFocus",-0.5,"Congruent",0.5,"Control",-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,-1.10502495328365,NA,NA,1,NA,NA
"581","XXXX",835,"s.6a09d100-dcc3-469b-bda6-8f163a1d2ed9.txt",18,"rien de sp<e9>cial",45,1,"metz","france",8,8,NA,1,"LatinScript",NA,3,26,"500","2000",1,7,7,7,7,7,7,7,7,7,"SoftSound",NA,-0.5,NA,NA,-0.5,-0.5,-0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,11,11,8,0,3,0,9,7,6,5,3,4,7,7,6,0,1,1,1,4,3,2,3,5,2,5,1,6,1,6,1,1,5,3,0.782246757867747,-0.265328197499815,-1.04757495536756,3.75,2.5,-1.25
"582","XXXX",1387,"s.b715b44d-182a-46e8-9695-fbe6b7654253.txt",10,NA,47,2,"France","Paris",7,3,NA,1,"LatinScript",NA,7,20,"2400","2400",3,5,6,6,6,6,6,6,5,5.75,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Control",-0.5,17,11,9,7,1,1,7,6,4,3,5,6,6,6,6,0,0,1,1,6,1,3,2,1,1,3,1,3,1,4,1,1,3,2,-0.500866867352935,-0.686633202378721,-0.185766335025786,1.75,1.75,0
